Year|Month|Day|rainfall_mm|min_temp_C|max_temp_C|daily_avg|daily_range|uv_MJ_m*m|Season
1952|8|1|3.0|8.1|18.5|13.3|10.4||4
1952|9|1|23.1|9.9|15.7|12.8|5.8||1
1952|10|1|0.0|6.9|19.1|13.0|12.2||1
1952|11|1|3.0|6.9|18.2|12.55|11.3||1
1952|12|1|1.0|10.7|18.5|14.6|7.8||2
1953|1|1|0.0|12.8|32.6|22.7|19.8||2
1953|2|1|0.0|15.0|21.5|18.25|6.5||2
1953|3|1|0.0|15.7|26.9|21.3|11.2||3
1953|4|1|0.0|5.5|22.6|14.05|17.1||3
1953|5|1|0.0|8.9|25.5|17.2|16.6||3
1953|6|1|0.0|9.8|19.6|14.7|9.8||4
1953|7|1|0.0|4.2|20.7|12.45|16.5||4
1953|8|1|0.0|7.0|17.2|12.1|10.2||4
1953|9|1|3.8|11.3|18.7|15.0|7.4||1
1953|10|1|0.3|7.6|23.1|15.35|15.5||1
1953|11|1|0.0|11.9|21.0|16.45|9.1||1
1953|12|1|0.0|18.3|34.7|26.5|16.4||2
1954|1|1|0.0|15.7|37.0|26.35|21.3||2
1954|2|1|0.0|16.6|31.2|23.9|14.6||2
1954|3|1|0.0|15.6|29.3|22.45|13.7||3
1954|4|1|0.0|5.3|22.0|13.65|16.7||3
1954|5|1|1.3|7.9|19.4|13.65|11.5||3
1954|6|1|0.5|4.0|20.0|12.0|16.0||4
1954|7|1|0.0|4.4|18.7|11.55|14.3||4
1954|8|1|0.0|5.6|16.8|11.2|11.2||4
1954|9|1|3.3|6.4|16.3|11.35|9.9||1
1954|10|1|0.0|9.4|26.6|18.0|17.2||1
1954|11|1|0.0|7.5|21.6|14.55|14.1||1
1954|12|1|0.8|12.1|21.3|16.7|9.2||2
1955|1|1|0.0|12.3|22.6|17.45|10.3||2
1955|3|1|0.0|19.9|29.4|24.65|9.5||3
1955|4|1|0.0|12.4|25.3|18.85|12.9||3
1955|5|1|0.0|9.7|18.9|14.3|9.2||3
1955|6|1|12.2|8.1|19.3|13.7|11.2||4
1955|7|1|0.5|10.9|17.4|14.15|6.5||4
1955|8|1|29.5|8.7|16.7|12.7|8.0||4
1955|9|1|0.8|10.7|17.4|14.05|6.7||1
1955|10|1|5.8|9.4|18.6|14.0|9.2||1
1955|11|1|0.0|13.2|30.3|21.75|17.1||1
1955|12|1|0.0|9.4|23.5|16.45|14.1||2
1956|3|1|1.8|18.2|30.5|24.35|12.3||3
1956|4|1|0.0|9.4|25.6|17.5|16.2||3
1956|5|1|0.0|9.8|21.8|15.8|12.0||3
1956|6|1|0.0|3.3|17.3|10.3|14.0||4
1956|7|1|16.3|12.1|17.8|14.95|5.7||4
1956|8|1|11.4|7.2|15.7|11.45|8.5||4
1956|9|1|0.8|-0.2|16.1|7.95|16.3||1
1956|10|1|0.0|11.5|21.3|16.4|9.8||1
1956|11|1|2.3|9.4|21.3|15.35|11.9||1
1956|12|1|0.5|16.2|25.0|20.6|8.8||2
1957|1|1|0.0|12.3|23.9|18.1|11.6||2
1957|2|1|0.0|16.8|34.8|25.8|18.0||2
1957|3|1|0.0|14.1|27.3|20.7|13.2||3
1957|4|1|0.0|14.5|30.9|22.7|16.4||3
1957|5|1|0.0|9.3|24.8|17.05|15.5||3
1957|6|1|0.0|13.3|18.1|15.7|4.8||4
1957|7|1|0.3|9.7|19.3|14.5|9.6||4
1957|8|1|5.6|8.0|15.8|11.9|7.8||4
1957|9|1|1.8|8.4|18.3|13.35|9.9||1
1957|10|1|0.0|13.9|27.3|20.6|13.4||1
1957|11|1|0.0|7.9|21.6|14.75|13.7||1
1957|12|1|0.0|11.2|25.3|18.25|14.1||2
1958|1|1|0.0|14.0|36.6|25.3|22.6||2
1958|2|1|0.0|17.4|27.7|22.55|10.3||2
1958|3|1|0.0|19.7|34.6|27.15|14.9||3
1958|4|1|0.0|10.0|25.6|17.8|15.6||3
1958|5|1|0.0|9.9|21.8|15.85|11.9||3
1958|6|1|0.0|11.5|21.5|16.5|10.0||4
1958|7|1|28.4|11.6|17.9|14.75|6.3||4
1958|8|1|0.0|5.6|18.2|11.9|12.6||4
1958|9|1|10.4|7.3|16.4|11.85|9.1||1
1958|10|1|16.3|9.3|20.1|14.7|10.8||1
1958|11|1|0.0|12.7|30.1|21.4|17.4||1
1958|12|1|0.0|19.8|35.3|27.55|15.5||2
1959|2|1|0.0|15.4|27.3|21.35|11.9||2
1959|3|1|2.5|17.3|33.7|25.5|16.4||3
1959|4|1|0.0|13.7|22.3|18.0|8.6||3
1959|5|1|0.0|7.3|26.3|16.8|19.0||3
1959|6|1|31.8|11.9|15.5|13.7|3.6||4
1959|7|1|0.0|5.5|20.8|13.15|15.3||4
1959|8|1|0.8|8.3|19.8|14.05|11.5||4
1959|9|1|0.0|12.2|27.1|19.65|14.9||1
1959|10|1|0.0|8.7|20.7|14.7|12.0||1
1959|11|1|0.0|15.9|23.4|19.65|7.5||1
1959|12|1|0.0|17.2|34.6|25.9|17.4||2
1960|1|1|16.8|13.4|25.1|19.25|11.7||2
